60
::::::::::
25
::::::::::
0
::::::::::
0
::::::::::
30;12;20;0
::::::::::
TREES
36;21;5;-1
57;7;5;-1
35;10;5;-1
10;21;5;-1
14;18;5;-1
47;4;5;-1
55;18;5;-1
58;17;5;-1
18;6;5;-1
8;6;5;-1
44;3;5;-1
33;11;5;-1
41;18;5;-1
19;17;5;-1
3;17;5;-1
::::::::::
FENCES
0;0;1
0;24;1
1;0;1
1;24;1
2;0;1
2;24;1
3;0;1
3;24;1
4;0;1
4;24;1
5;0;1
5;24;1
6;0;1
6;24;1
7;0;1
7;24;1
8;0;1
8;24;1
9;0;1
9;24;1
10;0;1
10;24;1
11;0;1
11;24;1
12;0;1
12;24;1
13;0;1
13;24;1
14;0;1
14;24;1
15;0;1
15;24;1
16;0;1
16;24;1
17;0;1
17;24;1
18;0;1
18;24;1
19;0;1
19;24;1
20;0;1
20;24;1
21;0;1
21;24;1
22;0;1
22;24;1
23;0;1
23;24;1
24;0;1
24;24;1
25;0;1
25;24;1
26;0;1
26;24;1
27;0;1
27;24;1
28;0;1
28;24;1
29;0;1
29;24;1
30;0;1
30;24;1
31;0;1
31;24;1
32;0;1
32;24;1
33;0;1
33;24;1
34;0;1
34;24;1
35;0;1
35;24;1
36;0;1
36;24;1
37;0;1
37;24;1
38;0;1
38;24;1
39;0;1
39;24;1
40;0;1
40;24;1
41;0;1
41;24;1
42;0;1
42;24;1
43;0;1
43;24;1
44;0;1
44;24;1
45;0;1
45;24;1
46;0;1
46;24;1
47;0;1
47;24;1
48;0;1
48;24;1
49;0;1
49;24;1
50;0;1
50;24;1
51;0;1
51;24;1
52;0;1
52;24;1
53;0;1
53;24;1
54;0;1
54;24;1
55;0;1
55;24;1
56;0;1
56;24;1
57;0;1
57;24;1
58;0;1
58;24;1
59;0;1
59;24;1
0;1;1
59;1;1
0;2;1
59;2;1
0;3;1
59;3;1
0;4;1
59;4;1
0;5;1
59;5;1
0;6;1
59;6;1
0;7;1
59;7;1
0;8;1
59;8;1
0;9;1
59;9;1
0;10;1
59;10;1
0;11;1
59;11;1
0;12;1
59;12;1
0;13;1
59;13;1
0;14;1
59;14;1
0;15;1
59;15;1
0;16;1
59;16;1
0;17;1
59;17;1
0;18;1
59;18;1
0;19;1
59;19;1
0;20;1
59;20;1
0;21;1
59;21;1
0;22;1
59;22;1
0;23;1
59;23;1
::::::::::
20
0 BUSH
3 SEED
0 TREE
0 FLOWER
0 FISH
0 FENCE
::::::::::
ANIMALS
51;14
42;11
45;15
11;1
48;19
::::::::::
SEEDS
::::::::::
BUSHES
::::::::::
FLOWERS
